CLOSED DATE,OPEID,SCHOOL NAME                                                        ,LOCATION                                                       ,ADDRESS                                                       ,CITY          ,STATE,ZIP CODE,COUNTRY (FOREIGN)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
1/1/1986,168300,GEORGE WILLIAMS COLLEGE,GEORGE WILLIAMS COLLEGE,555 31ST ST,DOWNERS GROVE,IL,60517,
1/1/1986,377506,EASTERN WASHINGTON UNIVERSITY,EASTERN WASHINGTON UNIVERSITY - SPOKANE (1),705 WEST 1ST,SPOKANE,WA,99201-3900,
1/1/1986,664000,COLUMBIA HOSPITAL SCHOOL OF NURSING,COLUMBIA HOSPITAL SCHOOL OF NURSING,2121 EAST NEWPORT AVENUE,MILWAUKEE,WI,53211,
1/1/1986,2135800,OVERLOOK HOSPITAL SCHOOL OF RADIATION THERAPY TECHNOLOGY,OVERLOOK HOSPITAL SCHOOL OF RADIATION THERAPY TECHNOLOGY,193 MORRIS AVE,SUMMIT,NJ,7901,
1/1/1986,2271200,MERCY HOSPITAL SCHOOL OF PRACTICAL NURSING,MERCY HOSPITAL SCHOOL OF PRACTICAL NURSING,400 HOBART STREET,CADILLAC,MI,49601,
1/1/1988,636500,MERCY SCHOOL OF NURSING OF DETROITOIT,MERCY SCHOOL OF NURSING OF DETROITOIT,660 CLINTON STREET,DETROIT,MI,48226,
1/1/1988,646900,ST MARYS HOSPITAL SCHOOL OF NURSING,ST MARYS HOSPITAL SCHOOL OF NURSING,380 GUY PARK AVE,AMSTERDAM,NY,12010,
1/1/1988,2147200,BORGESS MEDICAL CENTER SCHOOL OF MEDICAL TECHNOLOGY,BORGESS MEDICAL CENTER SCHOOL OF MEDICAL TECHNOLOGY,1521 GULL ROAD,KALAMAZOO,MI,49001,
1/1/1988,2170800,WEST FLORIDA MEDICAL CENTER SCHOOL RADIOLOGIC TECHLGY,WEST FLORIDA MEDICAL CENTER SCHOOL RADIOLOGIC TECHLGY,8383 NORTH DAVIS HIGHWAY,PENSACOLA,FL,32504,
1/1/1988,2258200,UNION SETTLEMENT ASSOCIATION TRAINING SCHOOL (CLOSED),UNION SETTLEMENT ASSOCIATION TRAINING SCHOOL (CLOSED),174 E 104TH STREET,NEW YORK,NY,10029,
1/1/1988,3004600,ALLURE CAREER COLLEGE OF BEAUTY EAST,ALLURE CAREER COLLEGE OF BEAUTY EAST,8822 EAST BROADWAY,TUCSON,AZ,85710,
1/1/1989,2158101,GOLDEN STATE SCHOOL,BRANCH,890 POMEROY AVE,SANTA CLARA,CA,95051,
1/1/1990,725301,FEDERICO BEAUTY INSTITUTE,FEDERICO COLLEGES OF HAIRSTYLING,3725 LAKE TAHOE BLVD BOX 201,SOUTH LAKE TAHOE,CA,95705,
1/1/1990,743400,COMPUTER SYSTEMS INSTITUTE,COMPUTER SYSTEMS INSTITUTE,900 PENN AVENUE,PITTSBURGH,PA,15222,
1/1/1990,743401,COMPUTER SYSTEMS INSTITUTE,COMPUTER SYSTEMS INSTITUTE,996 SOUTH MAIN STREET,MEADVILLE,PA,16335,
