"stateid","state","level","control","counted_pct","awards_per_state_value","awards_per_natl_value","exp_award_state_value","exp_award_natl_value","state_appr_value"
"00","United States","4-year","Public","60.1","","20.5","","68617",""
"00","United States","4-year","Private not-for-profit","69.5","","22.6","","95725",""
"00","United States","4-year","Private for-profit","56.4","","19.0","","42645",""
"00","United States","2-year","Public","31.5","","14.2","","42759",""
"00","United States","2-year","Private not-for-profit","61.7","","25.0","","42217",""
"00","United States","2-year","Private for-profit","68.9","","26.3","","19798",""
"01","Alabama","4-year","Public","57.5","17.9","20.5","84304","68617","322.58"
"01","Alabama","4-year","Private not-for-profit","79.7","16.9","22.6","90634","95725","322.58"
"01","Alabama","4-year","Private for-profit","63.3","16.2","19.0","18888","42645","322.58"
"01","Alabama","2-year","Public","47.9","13.7","14.2","47902","42759","322.58"
"01","Alabama","2-year","Private not-for-profit","","","25.0","","42217","322.58"
"01","Alabama","2-year","Private for-profit","91.8","19.7","26.3","19154","19798","322.58"
"02","Alaska","4-year","Public","22.2","15.4","20.5","119240","68617","479.11"
"02","Alaska","4-year","Private not-for-profit","22.3","19.7","22.6","73069","95725","479.11"
"02","Alaska","4-year","Private for-profit","23.1","23.7","19.0","14535","42645","479.11"
"02","Alaska","2-year","Public","16.8","7.9","14.2","256628","42759","479.11"
"02","Alaska","2-year","Private not-for-profit","","","25.0","","42217","479.11"
"02","Alaska","2-year","Private for-profit","","","26.3","","19798","479.11"
"04","Arizona","4-year","Public","63.7","21.9","20.5","65341","68617","169.53"
"04","Arizona","4-year","Private not-for-profit","33.4","20.9","22.6","24774","95725","169.53"
"04","Arizona","4-year","Private for-profit","84.1","18.1","19.0","34749","42645","169.53"
"04","Arizona","2-year","Public","12.8","17.7","14.2","33673","42759","169.53"
"04","Arizona","2-year","Private not-for-profit","","","25.0","","42217","169.53"
"04","Arizona","2-year","Private for-profit","81.2","30.5","26.3","16118","19798","169.53"
"05","Arkansas","4-year","Public","56.6","17.6","20.5","52109","68617","313.68"
"05","Arkansas","4-year","Private not-for-profit","71.7","19.6","22.6","75645","95725","313.68"
"05","Arkansas","4-year","Private for-profit","94.1","12.8","19.0","69133","42645","313.68"
"05","Arkansas","2-year","Public","45.8","20.6","14.2","26293","42759","313.68"
"05","Arkansas","2-year","Private not-for-profit","","","25.0","","42217","313.68"
"05","Arkansas","2-year","Private for-profit","100.0","6.3","26.3","16783","19798","313.68"
"06","California","4-year","Public","53.6","23.4","20.5","70729","68617","298.89"
